gene	tier_cancer	is_germline
PABPC1	2	FALSE
PAFAH1B2	1	FALSE
PALB2	1	TRUE
PATZ1	1	FALSE
PAX3	1	FALSE
PAX5	1	FALSE
PAX7	1	FALSE
PAX8	1	FALSE
PBRM1	1	FALSE
PBX1	1	FALSE
PCBP1	2	FALSE
PCM1	1	FALSE
PDCD1LG2	1	FALSE
PDE4DIP	1	FALSE
PDGFB	1	FALSE
PDGFRA	1	TRUE
PDGFRB	1	FALSE
PER1	1	FALSE
PHF6	1	FALSE
PHOX2B	1	TRUE
PICALM	1	FALSE
PIK3CA	1	FALSE
PIK3CB	1	FALSE
PIK3R1	1	FALSE
PIM1	1	FALSE
PLAG1	1	FALSE
PLCG1	1	FALSE
PML	1	FALSE
PMS1	2	TRUE
PMS2	1	TRUE
POLD1	1	TRUE
POLE	1	TRUE
POLG	2	FALSE
POLQ	1	TRUE
POLR2A	2	FALSE
POT1	1	FALSE
POU2AF1	1	FALSE
POU5F1	1	FALSE
PPARG	1	FALSE
PPFIBP1	1	FALSE
PPM1D	1	FALSE
PPP2R1A	1	FALSE
PPP6C	1	FALSE
PRCC	1	FALSE
PRDM1	1	FALSE
PRDM16	1	FALSE
PRDM2	2	FALSE
PREX2	1	FALSE
PRF1	1	TRUE
PRKACA	1	FALSE
PRKAR1A	1	TRUE
PRKCB	2	FALSE
PRKD1	2	FALSE
PRPF40B	2	FALSE
PRRX1	1	FALSE
PSIP1	1	FALSE
PTCH1	1	TRUE
PTEN	1	TRUE
PTK6	1	FALSE
PTPN11	1	FALSE
PTPN13	1	TRUE
PTPN6	2	FALSE
PTPRB	1	FALSE
PTPRC	1	FALSE
PTPRD	2	FALSE
PTPRK	1	FALSE
PTPRT	1	FALSE
PWWP2A	2	FALSE
QKI	1	FALSE
RABEP1	1	FALSE
RAC1	1	FALSE
RAD17	2	FALSE
RAD21	1	FALSE
RAD51B	1	FALSE
RAF1	1	FALSE
RALGDS	2	FALSE
RANBP2	1	FALSE
RAP1GDS1	1	FALSE
RARA	1	FALSE
RB1	1	TRUE
RBM10	1	FALSE
RBM15	1	FALSE
RECQL4	1	TRUE
REL	1	FALSE
RET	1	TRUE
RFWD3	2	TRUE
RGPD3	2	FALSE
RGS7	2	FALSE
RHOA	1	FALSE
RHOH	1	FALSE
RMI2	1	FALSE
RNF213	1	FALSE
RNF43	1	FALSE
ROBO2	2	FALSE
ROS1	1	FALSE
RPL10	1	FALSE
RPL22	1	FALSE
RPL5	1	FALSE
RPN1	1	FALSE
RSPO2	1	FALSE
RSPO3	1	FALSE
RUNX1	1	FALSE
RUNX1T1	1	FALSE
S100A7	2	FALSE
SALL4	1	FALSE
SBDS	1	TRUE
SDC4	1	FALSE
SDHA	1	TRUE
SDHAF2	1	TRUE
SDHB	1	TRUE
SDHC	1	TRUE
SDHD	1	TRUE
SEPT5	2	FALSE
SEPT6	2	FALSE
SEPT9	2	FALSE
SET	1	FALSE
SETBP1	1	TRUE
SETD1B	2	FALSE
SETD2	1	FALSE
SETDB1	2	FALSE
SF3B1	1	FALSE
SFPQ	1	FALSE
SFRP4	1	FALSE
